English,Urdu
zain looks busy today,میں تھوڑا متجسس ہوں۔
i am a little curious,وہ اب پڑھ رہا ہے
he is studying now,آپ بہتر کر سکتے ہیں
you could do better,آپ کو شاندار خوشبو آ رہی ہے۔
you smell wonderful,زین جیت گیا
zain was victorious,زین حیران ہے
zain is flabbergasted,کیا میں دیر سے ہوں
am i late,میں تیراکی میں غریب ہوں۔
i am poor at swimming,کیا آپ یہ کرسکتے ہیں
can you do this,میں پکڑ رہا ہوں
i am catching on,میں انڈیا گیا ہوں۔
i have been to india,زین کا دل مہربان ہے۔
zain has a kind heart,کیا آپ ذہنی طور پر بیمار ہیں؟
are you mentally ill,میں اپنے راستے پر ہوں
i am on my way,مجھے یہ بہت پسند ہے
i like it very much,کیا آپ زین کے وکیل ہیں؟
are you zains lawyer,کیا کبھی کسی نے اس کے بارے میں سوچا ہے؟
has anybody ever thought of this,اس گدگدی کو روکو
stop that tickles,براہ کرم مجھے سونے دو
please let me sleep,ایسی باتیں مت کرو
dont say such things,تم ایک ہوشیار لڑکے ہو
you are a smart boy,آپ ناخواندہ ہیں
you are illiterate,یہ ایک بہت اچھا خیال ہے
this is a great idea,کیا آپ کے پاس کنگھی ہے؟
do you have a comb,آپ کو ٹام کو فون کرنا ہوگا۔
you have to call tom,یہ متاثر کن تھا
it was impressive,بس میری زندگی سے دور ہو جاؤ
just go away,میں چل نہیں سکتا تھا۔
i couldnt walk,زین کافی موڈی ہے۔
zain is quite moody,تم مجھے روک نہیں سکتے
you cant stop me,کیا ابھی بارش ہو رہی ہے
is it raining now,میں اس سے کلب میں ملا
i met him at a club,ثابت قدم تھے
were persevering,وہ ایک بس ڈرائیور ہے
he is a bus driver,وہ سگریٹ نہیں پیتی
she does not smoke,میں آم کھانا چاہتا ہوں۔
i want to eat a mango,میں نے اپنی کار کی چابیاں کھو دیں۔
i lost my car keys,زین ناقابل تصور ہے
zain is unimaginative,زین وہاں نہیں ہو سکتا
zain may not be there,وہ دیوالیہ ہے
he is bankrupt,میں بہت بھرا ہوا ہوں
i am so full,اسے کہو کہ مجھے کال کرے۔
tell him to call me,یہ چلے گا
that will do,مجھے بری طرح خون بہہ رہا ہے۔
i am bleeding badly,اس نے مشکل زندگی گزاری۔
he lived a hard life,زین بھاگ گیا
zain ran off,صفحہ نمبر دس سے رجوع کرے۔
please refer to page ten,وہ کوئی ڈاکٹر نہیں ہے
he is no doctor,میں پیاسا ہوں
i am thirsty,وہ میری عزت کرتا ہے۔
he respects me,میں باسکی پڑھا رہا ہوں۔
i am teaching basque,یہ پریشان کن ہے
thats upsetting,کیا آپ لچکدار ہیں؟
are you flexible,میری پتلون ڈھیلی ہے۔
my trousers are loose,زین ایسا نہیں سوچتا
zain doesnt think so,زین نے مجھے بچانے کی کوشش کی۔
zain tried to save me,نرم لیکن مضبوط ہو
be gentle but firm,ہم میٹھی چاہتے تھے
we wanted dessert,مجھے اخبار لاؤ
get me the newspaper,زین اس پر قابو پا لے گا۔
zain will get over it,یہ برف کی طرح ٹھنڈا ہے۔
its as cold as ice,زین نے کچھ دیکھا؟
did zain see anything,یہ جوتے اس کے ہیں۔
these shoes are hers,میں گھر میں بیمار محسوس کرتا ہوں۔
i feel homesick,یہ کیا شور ہے
what is this noise,آپ میں کیا آیا
what got into you,کیا وہ خوبصورت ہے
is she beautiful,میں مشکل سے انتظار کر سکتا ہوں۔
i can hardly wait,یہ مضحکہ خیز لگ رہا ہے
it looks ridiculous,غیر اہم
its not important,ہم کتنے خوش قسمت ہیں
how lucky we are,میں اسے بہتر دیکھتا
i had better see him,ہمارے بارے میں مت بھولنا
dont forget about us,زین ہمیشہ ہارتا ہے۔
zain always loses,یہ میرے لیے لے جاؤ
carry this for me,مجھے معافی مانگنی چاہیے۔
i must apologize,میں آپ کی شرائط قبول کرتا ہوں۔
i accept your terms,وہ شادی شدہ ہے جبکہ میں بیچلر ہوں۔
she is married while i am a bachelor,یہ کتنا وسیع ہے
how wide is it,میں نے کسی کو نہیں دیکھا
i didnt see anybody,میں شدید شرمندہ ہوں۔
i am deeply ashamed,میرے پاس زیادہ ہے
i have got more,براہ مہربانی مجھے دے دو
give it to me please,گاڑی پرانی لگ رہی تھی؟
did the car look old,وہ میری گڑیا ہے
thats my doll,زین کو کیسے پتہ چلا
how did zain know that,مجھے اجازت
allow me,وہ صبح سویرے اٹھتا ہے۔
he/she wakes early in the morning,مریم بائیں ہاتھ کی ہے
mary is lefthanded,آپ اس سے بات کر سکتے ہیں۔
you may speak to him,میں ہوں آن لائن
i am online,یہ نئی گاڑی نہیں ہے۔
this isnt a new car,بادشاہ کے ساتھ نیچے
down with the king,زین گھر نہیں آیا
zain didnt come home,یہ ایک قسم کا مضحکہ خیز تھا۔
it was kind of funny,مجھے نوکری حاصل کرنی ہے۔
i need to get a job,کیا میں بھی دیکھ سکتا ہوں؟
can i see too,زین ایک نیا آنے والا ہے۔
zain is a newcomer,انہوں نے یہ پایا
they found this,وہ پیدائشی طور پر جرمن ہے۔
he is german by birth,میں پہلے ہی شادی شدہ ہوں۔
i am already married,وہ جھوٹ نہیں بولتا
he doesnt lie,کیا آپ کے پاس ایک منٹ ہے
do you have a minute,میں نے پہلے اس کی کوشش کی۔
i tried it before,کیا تم ٹھیک ہو؟
are you ok,ایک کار ٹام سے ٹکرائی
a car hit tom,زین جھوٹا نہیں ہے۔
zain is no liar,چلو اس سے پوچھو
lets ask him,یہ ایک بلیک ہول ہے
it is a black hole,میں خراب موڈ میں ہوں۔
i am in a bad mood,دائیں طرف مڑیں
turn right,وہ گاڑی دھو رہا ہے
he is washing the car,یہ سب سمجھ میں آتا ہے
it all makes sense,مجھے گھر میں رہنا پڑا
i had to stay at home,اس کے پاس بہت ساری کتابیں ہیں۔
he has too many books,میرے پاس پیسوں کی کمی ہے۔
i am short of money,میں آپ کی پیروی نہیں کر سکتا
i cant follow you,زین نے ایک راز بتایا
zain told me a secret,کیا میں آسکتا ہوں
can i come over,اس سے بدبو آتی ہے۔
this stinks,ہمارے پاس سبزیوں کے ساتھ چکن اور سبزیوں کا پاستا ہوگا۔
we’ll have the chicken with vegetables and the vegetable pasta please,انہوں نے الگ سے ادائیگی کی
they paid separately,وہ ایک دوسرے کو پسند کرتے ہیں
they like each other,بس اپنی پوری کوشش کرو
just do your best,میں ابھی بور ہوں
i am bored right now,ہم ٹام کو نہیں ڈھونڈ سکتے
we cant find tom,میں اسے آسان بناؤں گا۔
i will make it simple,ہمیں ٹیکس ادا کرنا ہوگا
we must pay the tax,جنگ ہم سب کو فکر مند ہے
war concerns us all,زین چل سکتا ہے؟
can zain walk,زین ایک فن نقاد ہے۔
zain is an art critic,زین کو کیوں چنا گیا؟
why was zain chosen,میں اسے ذہن میں رکھوں گا۔
i will keep it in mind,اس کی قسمت نے ایک موڑ لیا
his luck took a turn,ٹام کو جانے دو
let go of tom,انتظار
wait,میرا لنچ کہاں ہے
wheres my lunch,میں اب الجھن میں ہوں
i am confused now,شہر کے مرکز میں جانے دو
lets go downtown,کیا تم مجھ سے بات کررہے ہو
are you talking to me,گوشت کی کمی
meats scarce,ٹام کو پکڑو
catch tom,تم ایسا کیوں کہتے ہو
why do you say that,وہ پرواہ نہیں کریں گے
they wont care,کیا وہ پہلے ہی واپس آیا ہے؟
is he back already,میں نے تھوڑا سخت محسوس کیا
i felt a little stiff,میں واقعی ڈر گیا تھا
i was really scared,میں نے زین کو ٹینس کھیلتے دیکھا
i saw zain play tennis,زین نے رات کا کھانا کھایا؟
did zain eat dinner,میں ایک باصلاحیت ہوں
i am a genius,میں نے اسے اپنا پتہ دیا۔
i gave him my address,وہ ڈائیونگ میں اچھا ہے
he is good at diving,چور بھاگ گیا
the thief ran away,اپنے باپ کی اطاعت کرو
obey your father,کون سی تاریخ اتوار کو آتی ہے۔
which date falls on sunday,زین نے کیا لکھا
what did zain write,انہوں نے مجھے دیا
they gave it to me,وہ امیر ہے
he is rich,وہ عمارت کیا ہے؟
what is that building,شاید میں مدد کر سکتا ہوں
maybe i can help,میں نے نہ دیکھنے کی کوشش کی۔
i tried not to look,آپ کی مدد کے لیے زین حاصل کریں۔
get zain to help you,یہ صرف جھوٹ ہے
thats just a lie,سب کچھ بدلتا ہے
everything changes,مجھے آپ کی ٹوپی پسند نہیں ہے۔
i dont like your hat,میں بہت متاثر ہوا
i was very impressed,مجھے ہلکا سا بخار ہے۔
i have a little fever,وہ ایک بدتمیز شخص ہے
he is a rude person,کیا آپ نو بجے آسکتے ہیں؟
can you come at nine,وہ ایک معصوم کردار ہے
he has an impeccable character,تالا ٹوٹ گیا ہے
the lock is broken,آپ کے ساتھ بات کرنا اچھا لگا
it was nice chatting with you,مجھے ڈارک چاکلیٹ پسند ہے۔
i like dark chocolate,یہ مجھے بیمار کرتا ہے
it makes me sick,میں اوساکا میں پیدا ہوا تھا۔
i was born in osaka,میں شہر میں نیا ہوں۔
i am new in town,اس نے قانون توڑا
he broke the law,گیند کو دونوں ہاتھوں سے پکڑو۔
hold the ball with both hands,دھیان رکھیں
take care,کیا اس نے آپ کو تجویز کیا؟
did he propose to you,کتنا خوفناک
how awful,مجھے فالج ہوا تھا۔
i had a stroke,مجھے کیلوں کا ایک ڈبہ چاہیے۔
i need a box of nails,مجھے لطیفے پڑھنا پسند ہے۔
i like to read jokes,میں سونا چاہتا ہوں
i want to sleep,وہ اب یہاں نہیں ہے۔
he isnt here now,میں کل چھٹی کر ریا ہوں۔
i am taking tomorrow off,یہ غیر اخلاقی ہے
thats immoral,آپ اسے پسند کریں گے
youll like it,یہ کتا سفید ہے
this dog is white,پانی روشنی کو منعکس کرتا ہے۔
water reflects light,میں اس وقت مصروف ہوں۔
i am busy at the moment,آپ کیا کہہ رہے تھے
what were you saying,گھبراؤ مت
dont be nervous,زین کٹ میریز کے بال
zain cut marys hair,میرے مشورہ پر عمل کریں
follow my advice,مجھے بخار نہیں ہے۔
i have no fever,میں انتظار نہیں کر سکا
i couldnt wait,کچھ اور روٹی
some more bread,میں نے ٹام سے جھوٹ نہیں بولا۔
i didnt lie to tom,اس نے زین کو خوش کر دیا۔
it made zain happy,وہ گھر میرا ہے۔
that house is mine,میں آپ کے ساتھ ہو چکا ہوں۔
i am done with you,کیا آپ نے اس کی تصدیق کی ہے؟
have you confirmed it,کیا تم میری مدد کر سکتے ہو
can you do me a favor,زین ہونا چاہیے ہم بند کر دیں گے۔
zain must be we will off,ایک گہری سانس لیں
take a deep breath,زین کو کوئی مدد ملی؟
did zain have any help,ٹام دیکھو
watch tom,تم تھک گئے ہو؟
arent you tired,یہ ایک اچھا دن ہے
its a nice day,کیا آپ اپنی شام ہمارے ساتھ کچھ میٹھے کے ساتھ ختم کرنا چاہیں گے؟
would you like to finish your evening with us with some dessert,وہ بیئر پر نشے میں تھا
he was drunk on beer,یہ نہیں ہو سکتا
that cant be,دیکھو میں تمہیں دکھاؤں گا۔
look i will show you,میں کھا رہا ہوں
i am eating,وہ متاثر ہوا
he was impressed,وہ جارجیا سے ہے
he is from georgia,زین نے مجھے ادا کیا۔
zain paid me,تکلیف اٹھاےءبناء راحت نہیں
no pain no gain,کیا آپ کے پاؤں ٹھنڈے ہیں؟
are your feet cold,مجھے فیصل آباد جانا ہے۔
i have to go to faisalabad,یہ یہاں ہوا
that happened here,میں وہاں جانا چاہتا تھا۔
i wanted to go there,میرے اسکول میں ایک بینڈ ہے۔
my school has a band,کیا گندگی
what rubbish,تم میرے خیالات پر قابض ہو۔
you occupy my thoughts,میں جلدی سو گیا۔
i went to bed early,میں جانتا ہوں کہ آپ پریشان ہیں۔
i know you are upset,کوشش کرو
try it,شرمندہ نہ ہو
dont be shy,یہ جگہ خوفناک ہے
this place is creepy,یہ چوٹ نہیں کر سکتا
it couldnt hurt,میرے لیے ایسا کرو
do that for me,یہ مزہ آئے گا
thisll be fun,میں کار سے چرچ جاتا ہوں۔
i go to church by car,کیا واپسی ملتی ہے
what return did gets,وہ ایک جانور ہے
he is an animal,میرے ساتھ رہو ٹام
stay with me tom,یہ ٹام کا ہے۔
this belongs to tom,اب سب ایک ٹیم تھے۔
were all a team now,زین نے مجھے بلایا
zain called me,میں مصروف ہوں
i am busy,یہ بہت مختصر ہے
its too short,بہت خوب
wonderful,میں چھوڑنے والا نہیں ہوں۔
i am no quitter,کلاس جنگلی ہو گیا
the class went wild,مجھے ابھی زین کی ضرورت ہے۔
i need zain now,زین انڈا فرائی کر رہا ہے۔
zain is frying an egg,ہم کبھی بات نہیں کرتے
we never talk,یہ آپ کا خیال تھا
this was your idea,زین بھوکا ہے
is zain hungry,یہ گاڑی اسٹارٹ نہیں ہوگی۔
this car wont start,میں کیسے مدد کر سکتا ہوں؟
how can i help,ایمانداری کی روزی نماز کے برابر ہے۔
honest livelihood is equal to prayer,تم خواب دیکھنے والے ہو
you are the dreamer,مجھے بتاءو
let me know,وہ میری بیوی کو جانتا ہے
she knows my wife,یہ میں چاہتا ہوں
its what i want,زین غصے میں تھا
zain was angry,آپ کے پاس یہ نہیں ہو سکتا
you cant have this,میری وردی کہاں ہے
wheres my uniform,یہ کھلا ہے
its unlocked,وہ فکر مند تھے
they were worried,اس کے پاس کافی پیسہ ہے
he has enough money,مجھے کافی چاہیے
i need some coffee,میں زین کو اچھی طرح جانتا تھا۔
i knew zain well,وہ اس کی طرح لمبا ہے۔
he is as tall as her,یہ میری پنسل ہے۔
thats my pencil,کیا وہ ٹام ہے؟
is that tom,زین نے کراہا۔
zain groaned,ہمیں جانا چاہئے
we should get going,چلو ایک ٹیکسی لے لو
lets get a cab,آپ کے والد کیسے ہیں؟
hows your dad,یہ ہو جائے گا
this will happen,آگے کیا آتا ہے
what comes next,جھوٹ مت بولو ایماندار رہو
dont lie be honest,مجھے شادی کی جیت معلوم تھی۔
i knew wed win,چلو ناشتہ کرتے ہیں
lets have breakfast,یہ تخریب کاری ہے
this is sabotage,ہم تعاون کریں گے
we will cooperate,دور رہیں
keep away,میں جانتا ہوں کہ یہ مشکل ہے۔
i know this is hard,اسے میڈیکل کالج میں داخل کرایا گیا۔
he was admitted to the medical college,کھوئے نہیں تھے
were not lost,اٹلانٹس حقیقی ہے
atlantis is real,آپ کو اس پر افسوس نہیں ہوگا۔
you wont regret it,کتے کو باہر رکھو
keep the dog out,یا تو ان گندے چمچوں کو دھو لو یا بدل دو
either wash these dirty spoons or change them,میری ڈائری مت پڑھو
dont read my diary,میرے ہاتھ بھرے ہوئے ہیں۔
my hands are full,میں اداس ہوں
i am sad,میرا مقصد مصنف بننا ہے۔
i aim to be a writer,خبر نے مجھے چونکا دیا
the news shocked me,وہ ایک برا لڑکا ہے
he is a bad boy,کیا یہ عام ہے؟
is this normal,دنیا سورج کے گرد گھومتی ہے۔
the world revolves around the sun,میں پرہیز کر رہا ہوں۔
i am dieting,برائے مہربانی جلد از جلد آجائیں
please come as soon as possible,یہ کتاب بہت مقبول ہے
this book is very popular,کوئی صابن نہیں ہے
there is no soap,اپنی گانڈ چوسو
how are you doing,میں تم سے بیٹے کی طرح پیار کرتا ہوں۔
i love you like a son,میں سیب چھیل رہا ہوں۔
i am peeling apples,اس کی قسمت بہت بری ہے۔
he has very bad luck,اس نے اپنی پتلون کو کھول دیا
he unzipped his pants,زین نے جھکایا
zain frowned,مجھے گٹار چاہیے
i want a guitar,میں کوکیز لایا ہوں۔
i brought cookies,موسم کیسا ہے؟
what is the weather like,وہ وہاں اکیلا تھا
he was alone there,ٹام ہے
there is tom,مجھے خواب دیکھنے دو
let me dream,آسمان نیلا کیوں ہے؟
why is the sky blue,کیا آپ متعصب ہیں؟
are you prejudiced,زین واقعی مصروف ہے۔
zain is really busy,میں امیر ہوں
i am wealthy,مداخلت بند کرو
stop interfering,ارد گرد بیوقوف بنانا بند کرو
stop fooling around,اسے بلیوں سے الرجی ہے۔
he is allergic to cats,تمہیں اس کی عمر کا خیال رکھنا چاہیے تھا۔
you should have regarded his age,میں دوبارہ کوشش کروں گا
i will try again,یہ اچھی بو آ رہی ہے
this smells good,مجھے کراچی آئے دس سال سے زیادہ کا عرصہ ہو گیا ہے۔
it is more than ten years since i visited karachi,میں ٹام سے محبت کرتا ہوں
i love tom,میں گھر جانا چاہتا ہوں
i want to go home,یہ جھوٹ تھا
that was a lie,میں اس سے متفق تھا
i had agree with that,مجھے اس کی ضرورت نہیں ہے۔
i dont need that,یہ کچھ بھی نہیں ہے
this is nothing,میری ایک جڑواں بہن ہے۔
i have a twin sister,یہ میٹھا تھا
that was sweet,کیا زین نے کسی کو تکلیف دی؟
did zain hurt anyone,مجھے زبانیں پسند ہیں۔
i like languages,میں ہر ہفتے ایسا کرتا ہوں۔
i do that every week,میں تمہیں دے دوں گا۔
i will give it to you,مجھے واقعی یہ کھانا پسند ہے۔
i really love this meal,یہ شاندار تھا
it was superb,وہ ہوشیار ہے
he is smart,میں جا رہا ہوں
i am going,زین میرا حریف ہے۔
zain is my rival,میں غیر مطمئن ہوں
i am dissatisfied,میں آپ کا نام جانتا ہوں۔
i know your name,مجھے فلمیں بہت پسند ہیں۔
i like movies a lot,میں ماضی کو چھیڑنا نہیں چاہتا
i dont want to dredge up the past,یہ یہاں ہونا ضروری ہے
it must be here,میں کوئی رِف رِف شخص نہیں ہوں۔
i am not a riff-raff person,زین اب لنگڑا رہا ہے۔
zain is limping now,قابل اعتماد تھے
were reliable,میں آپ کو دعوت دے رہا ہوں۔
i am inviting you,جس نے یہ کتاب لکھی۔
who wrote this book,زین اکیلا نہیں گیا
zain didnt go alone,مجھے مل گیا ہے
i have got it,میرے پاس دس قلم ہیں۔
i have ten pens,اپنی ہینڈ رائٹنگ کو بہتر بنائیں
improve your handwriting,میں زین کا سوتیلا بھائی ہوں۔
i am zains stepbrother,یہ مذاق کی طرح لگتا ہے
that sounds like fun,اسے چیک کریں
check that,اب میں اداس ہوں
now i am sad,میں نے یو ایف او دیکھا ہے۔
i have seen a ufo,کیا میں یہاں رقص کر سکتا ہوں؟
can i dance here,زین کو لیکروس پسند ہے۔
zain likes lacrosse,بہترین تھے
were the best,میں اس کا پتہ جانتا ہوں۔
i know his address,مجھے گھڑیاں پسند ہیں۔
i like clocks,میں نے اسے ایک غار میں پایا
i found it in a cave,میں نے تقریبا خود کو کاٹ لیا
i almost cut myself,مجھے ایک لفافہ چاہیے
i need an envelope,کیا یہ ایک تعریف ہے؟
is this a compliment,زین نے مدد کی
zain helped,مجھ پر بھروسہ کیا جا سکتا ہے۔
i can be trusted,ہر کوئی بدل جاتا ہے
everyone changes,زین بیوقوف ہے
zain is skittish,زین اس پر بھروسہ کرتا ہے۔
zain trusts her,میرا کام بورنگ ہے
my job is boring,سورج سے ہمیں حرارت اور روشنی ملتی ہے۔
the sun gives us heat and light,یہ تقریبا نیا لگتا ہے
it looks almost new,آپ نے شاید ہی کچھ کھایا
you hardly ate anything,تم نے زین سے پوچھا کیوں؟
did you ask zain why,کوئی مزاحمت نہیں کر سکتا
no one can resist,میرے پاس کوئی وضاحت نہیں ہے۔
i have no explanation,میں تیار تھا
i was ready,زین اداس ہے
zain is dejected,مجھے تم سے نفرت ہے
i hate you,مجھے کیا ملے گا
what do i get,واپس خوش آمدید!
welcome back,اس نے پہلے یہ کیا ہے
he is done this before,زین نہیں سکی
zain cant ski,آپ میرے مالک ہیں
you are my boss,تم بہادر تھے
you were brave,براہ کرم کچن کے فرش سے کچرا اٹھا لیں۔
please pick up the garbage from the kitchen floor,یہ پارک کتنا بڑا ہے؟
how big is this park,میں نے اسے بتایا کہ وہ غلط تھا۔
i told him that he was wrong,وہ ایک حقیقی شریف آدمی ہے۔
he is a real gentleman,تم نے اسے کیوں بیچا
why did you sell it,میں نے دھماکوں کی آواز سنی
i heard explosions,میں اپنے بیٹے سے پیار کرتا ہوں۔
i love my son,میرا ٹی وی ٹوٹ گیا ہے۔
my tv is broken,دو جمع دو کیا ہے؟
what is two plus two,وہاں کوئی ہے؟
is somebody there,آپ کی سردی کیسی ہے؟
hows your cold,ہیلو کیا آپ یہاں کام کرتے ہیں؟
hi do you work here,زین کو نہانے کی ضرورت ہے۔
zain needs a bath,میں نے کسی کو دیکھا
i saw somebody,جیسا میں کہتا ہوں آپ کو کرنا چاہیے۔
you must do as i say,بس بات کرنا شروع کرو
just start talking,یہ ایک لمبی فہرست ہے
this is a long list,یہاں کھینچو
pull over here,دیر سے آنے پر معذرت
sorry for being late,وہ بے ہوش ہے
shes unconscious,براہ کرم فرانسیسی بولیں۔
please speak french,یہ میز بھاری ہے
this table is heavy,میں کبھی پکڑا نہیں گیا تھا
i had never get caught,آج کے لیے آپ کا شکریہ
thank you for today,میں ناکام ہونا پسند نہیں کرتا
i dont like to fail,وہ ہمیں تکلیف نہیں دیں گے
they wont hurt us,میں کس سے بات کر رہا ہوں
who am i talking to,زین ایک نفسیاتی ہے
zain is a psychic,دو کیک تھے
there were two cakes,مجھے پڑھنا اچھا لگتا ہے
i like to read,ghar pahunch kar itla karna
call home,زین تنگ نظر ہے۔
zain is narrowminded,وہ اس سے محبت کرتا ہے
he loves her,میں اب تھکا ہوا نہیں ہوں
i am no longer tired,وہ لمبا ہے
he is tall,کیا ہم سب تیار ہیں؟
are we all ready,باورچی کہاں ہے
wheres the cook,تم سنو گے
you will listen,کیا یہ آپ کی موٹر سائیکل ہے؟
is this your bike,میں واقعی بہت مصروف ہوں۔
i really am very busy,یہ ایک نقشہ ہے
this is a map,آپ کو اس پر افسوس ہو گا۔
you will regret this,میں جانتا تھا کہ تم پاگل ہو گے۔
i knew youd be mad,وہ اسے برداشت نہیں کر سکتا
he cannot afford it,ہم جیت گئے
weve won,میں جانے کے لیے تیار ہوں۔
i am ready to go,چار آدمی گا رہے ہیں۔
four men are singing,کیا میں ایک تکیہ لے سکتا ہوں؟
can i get a pillow,اس نے تمباکو نوشی چھوڑ دی
he quit smoking,تم مذاحیہ ہو!
you are very funny,یہ سچ نہیں ہو سکتا
that cant be true,زین بہت غصے میں تھا
zain was very angry,زین نے کیا جواب دیا
how did zain react,اگر آپ کو گرفتار کیا جانا ہو:
you are under arrest,میں آپ کی مدد کر سکتا تھا۔
i couldve helped you,میں سیکھنا چاہتا ہوں۔
i want to learn,میں پیسے چاہتا ہوں
i want money,آپ ایک جنسی پرست ہیں
you are a sexist,یہ کب ہو گا
when will that occur,دوبارہ مت آنا
dont come again,آواز مت کرو
dont make a sound,زین اب بھی یہاں ہے
is zain still here,کپ میں ایک شگاف ہے
the cup has a crack,میں پھل کھاتا ہوں
i eat fruit,میں آپ کو بس اسٹاپ پر لے جاؤں گا۔
i will take you to the bus stop,مجھے اپنے اساتذہ پسند ہیں۔
i like my teachers,کسی اور چیز کی ضرورت ہے؟
need anything else,آپ کو معلوم ہونا چاہئے
you ought to know,گنگنا رہے تھے
were humming,ان میں سے ایک جھوٹ بول رہا ہے
one of them is lying,میں اسے پہلے ہی یاد کرتا ہوں۔
i miss it already,میں پہلے ہی جانتا تھا
i already knew that,میں نے اسے نہیں توڑا۔
i didnt break it,اس نے آنکھیں کھولیں
she opened her eyes,میں نے ڈاکٹر کو دیکھا
i saw the doctor,میں بھوکا ہوں
i am hungry,اس نے اس منصوبے کی مخالفت کی۔
he opposed the plan,آپ اچھے لگ رہے ہو
you are looking good,ہسپتال کہاں ہے
wheres the hospital,کیا آپ کو سیب پسند ہیں؟
do you like apples,کچھ دیر انتظار
wait a moment,وہ چلا گیا
he got away,پانی ٹھنڈا تھا
the water was cold,کیا تم نے اسے ختم کر دیا ہے؟
have you finished it,میں ایک انسان ہوں۔
i am a human being,ٹوائلٹ کہاں ہے
wheres the toilet,ایک گاڑی گزری
a car went by,بات کرنا بند کرو اور خاموش رہو
stop talking and be quiet,کتنا سنسنی خیز
how thrilling,یہ سب کیا ہے
what is all that,وہ میری کتاب ہے
that is my book,یہ حوصلہ شکنی ہے
thats discouraging,وہ جوان نظر آیا
he appeared young,اسے پنسل میں لکھیں
write it in pencil,یہ میرا خیال تھا
it was my idea,مدد کرو میں ڈوب رہا ہوں
help i am drowning,حقیقت پسند ہو
be realistic,مجھے لگتا ہے کہ یہ ایک مذاق تھا۔
i guess it was a joke,رسی کو پکڑو
hold on to the rope,میں ایک چھوٹا بچہ ہوں۔
i am a little child,ایک ہفتے میں واپس آو
come back in a week,میرا دماغ خالی ہو گیا ہے
my mind has gone blank,میں شراب نہیں پیتا
i dont drink wine,آئیے میٹھا چھوڑ دیں۔
lets skip dessert,آپ سے مل کر خوشی ہوئی
glad/nice to meet you,پکڑنے دو
lets catch up,ٹام کے ساتھ یہاں رہو
stay here with tom,زین ڈیوٹی پر ہے
zain is on duty,مجھے پلمبر کی ضرورت ہے۔
i need a plumber,میں نے اس سے بات کی
i talked with him,مجھے یہ چاہیے
i want this,یہ زین ہے نہیں
its zain isnt it,مجھے بخار ہے
i have a fever,خیال نیا نہیں ہے
the idea isnt new,میں نے وزن بڑھا لیا ہے
i have gained weight,مجھے موسیقی پسند نہیں ہے۔
i do not like music,جیت ہماری ہے
the victory is ours,وہ گھر میں آرام کر رہا ہے
he is relaxing at home,زین کے پاس پیسے ختم ہو گئے۔
zain ran out of money,مجھے لڑکیاں پسند ہیں
i like girls,بل کو تقسیم کرنے دیں۔
lets split the bill,اسے ایک بار تیار کرو
get it ready at once,مجھے ابھی جواب دیں
answer me right now,میں یہاں سے نہیں جا رہا ہوں۔
i am not leaving here,کیا بات چیت ہوئی
what was discussed,سب نے دعا کی
everyone prayed,ہمارے پاس کوئی بریک نہیں ہے۔
weve got no brakes,دنوں تک بارش ہوئی
it rained for days,اس کی تقریر نے ہمیں متاثر کیا۔
his speech moved us,اس کے ٹام
its toms,وہ یہ پسند نہیں کرے گا
he wont like this,ہم یہاں نہیں رک سکتے
we cant stop here,مجھے فلکیات پسند ہے۔
i love astronomy,میں بہت مضبوط ہوں۔
i am very strong,وہ مضبوط لگ رہا ہے
he looks strong,پوچھنے میں ہچکچاہٹ نہ کریں
dont hesitate to ask,تم بہت اچھے ہو
you are very good,یہ چابیاں ٹام ہیں۔
these keys are toms,میں تمہاری مدد نہیں کروں گا۔
i will not help you,میں جاپان دو سال پہلے آیا تھا۔
i came to japan two years ago,انہیں یہ جاننا چاہئے
they should know it,یہ ایک خواب نہیں ہے
its not a dream,دودھ ہمیں مضبوط بناتا ہے۔
milk makes us strong,وہ تمہاری وجہ سے مصیبت میں پھنس جائے گا۔
he will get in trouble because of you,کوئی فیصلہ کریں
make a decision,یہ کبھی ختم نہ ہوگی ۔
this is never going to end,تیار ہو جاؤ جاؤ
ready get set go,میں انہیں یاد کرتا ہوں۔
i remember them,تم میرے ہیرو ہو
you are my hero,آئیے آج کا سبق شروع کرتے ہیں۔
lets begin today's lesson,آپ کس کے ساتھ جا رہی ہے؟
who are you going with,یہ اچھی خبر ہے
thats good news,زین مہربان ہے
zain is kind,وہ کہتے ہیں کہ وہ بیمار ہے
they say shes sick,مجھے کچھ نظر نہیں آتا
i dont see anything,مجھے جانے پر مجبور کیا گیا۔
i was forced to go,مجھے بچوں سے نفرت ہے۔
i hate children,یہاں سے شروع کرتے ہیں
lets start here,یہ کب آتا ہے
when does it arrive,میرے سر میں درد ہے
i have a headache,ہمیں امید ہے کہ غلط تھے
we hope were wrong,سب اچھا ہے
is all good,زین کبھی بیمار نہیں ہوتا
zain never gets sick,تم کیا کھا رہے ہو؟
whatre you eating,زین ابھی سفر کر رہا ہے۔
zain is traveling now,کتے نے میرا پیچھا کیا۔
the dog followed me,میں نے اسے تقریبا چوما
i almost kissed him,وہ اس کے پاس بیٹھ گیا
she sat next to him,دودھ سے باہر تھے
were out of milk,نشے میں مت جاؤ
dont get drunk,مجھ سے شادی کرو
marry me,وہ یہ نہیں جانتا تھا
he didnt know that,وہ بہت پریشان کن ہے
